Generation,Max Fitness A,Average Fitness A
114,0.11687085459149349,0.028897727367465903
115,0.11687085459149349,0.028897727367465903
116,0.11687085459149349,0.028897727367465903
117,0.11687085459149349,0.028897727367465903
118,0.11687085459149349,0.028897727367465903
119,0.11687085459149349,0.028897727367465903
120,0.11687085459149349,0.028897727367465903
121,0.11687085459149349,0.029200175603780344
122,0.11687085459149349,0.029200175603780344
123,0.11687085459149349,0.029200175603780344
124,0.11687085459149349,0.029200175603780344
125,0.11687085459149349,0.029200175603780344
126,0.11687085459149349,0.029258365770472063
127,0.11687085459149349,0.029258365770472063
128,0.11687085459149349,0.029258365770472063
129,0.11687085459149349,0.029258365770472063
130,0.11687085459149349,0.029782962726223012
131,0.11687085459149349,0.029782962726223012
132,0.11687085459149349,0.0298929602028608
133,0.11687085459149349,0.0298929602028608
134,0.11687085459149349,0.0298929602028608
135,0.11687085459149349,0.0298929602028608
136,0.11687085459149349,0.0298929602028608
137,0.11687085459149349,0.0298929602028608
138,0.11687085459149349,0.0298929602028608
139,0.11687085459149349,0.029921224183250585
140,0.11687085459149349,0.029921224183250585
141,0.11687085459149349,0.029921224183250585
142,0.11687085459149349,0.029921224183250585
143,0.11687085459149349,0.029921224183250585
144,0.11687085459149349,0.029921224183250585
145,0.11687085459149349,0.029921224183250585
146,0.11687085459149349,0.029921224183250585
147,0.11687085459149349,0.029921224183250585
148,0.11687085459149349,0.029921224183250585
149,0.11687085459149349,0.029921224183250585
